Learning Rate,Bias,Epoch,x1,x2,Yd,w1 inicial,w2 inicial,Y,Error,w1 final,w2 final
0.01,0.0,10,1,1,1,0.39084,0.48314,1,0,0.39084,0.48314
0.01,0.0,11,0,0,0,0.39084,0.48314,0,0,0.39084,0.48314
0.01,0.0,11,0,1,0,0.39084,0.48314,1,-1,0.39084,0.47314
0.01,0.0,11,1,0,0,0.39084,0.47314,1,-1,0.38084,0.47314
0.01,0.0,11,1,1,1,0.38084,0.47314,1,0,0.38084,0.47314
0.01,0.0,12,0,0,0,0.38084,0.47314,0,0,0.38084,0.47314
0.01,0.0,12,0,1,0,0.38084,0.47314,1,-1,0.38084,0.46314
0.01,0.0,12,1,0,0,0.38084,0.46314,1,-1,0.37084,0.46314
0.01,0.0,12,1,1,1,0.37084,0.46314,1,0,0.37084,0.46314
0.01,0.0,13,0,0,0,0.37084,0.46314,0,0,0.37084,0.46314
0.01,0.0,13,0,1,0,0.37084,0.46314,1,-1,0.37084,0.45314
0.01,0.0,13,1,0,0,0.37084,0.45314,1,-1,0.36084,0.45314
0.01,0.0,13,1,1,1,0.36084,0.45314,1,0,0.36084,0.45314
0.01,0.0,14,0,0,0,0.36084,0.45314,0,0,0.36084,0.45314
0.01,0.0,14,0,1,0,0.36084,0.45314,1,-1,0.36084,0.44314
0.01,0.0,14,1,0,0,0.36084,0.44314,1,-1,0.35084,0.44314
0.01,0.0,14,1,1,1,0.35084,0.44314,1,0,0.35084,0.44314
0.01,0.0,15,0,0,0,0.35084,0.44314,0,0,0.35084,0.44314
0.01,0.0,15,0,1,0,0.35084,0.44314,1,-1,0.35084,0.43314
0.01,0.0,15,1,0,0,0.35084,0.43314,1,-1,0.34084,0.43314
0.01,0.0,15,1,1,1,0.34084,0.43314,1,0,0.34084,0.43314
0.01,0.0,16,0,0,0,0.34084,0.43314,0,0,0.34084,0.43314
0.01,0.0,16,0,1,0,0.34084,0.43314,1,-1,0.34084,0.42314
0.01,0.0,16,1,0,0,0.34084,0.42314,1,-1,0.33084,0.42314
0.01,0.0,16,1,1,1,0.33084,0.42314,1,0,0.33084,0.42314
0.01,0.0,17,0,0,0,0.33084,0.42314,0,0,0.33084,0.42314
0.01,0.0,17,0,1,0,0.33084,0.42314,1,-1,0.33084,0.41314
0.01,0.0,17,1,0,0,0.33084,0.41314,0,0,0.33084,0.41314
0.01,0.0,17,1,1,1,0.33084,0.41314,1,0,0.33084,0.41314
0.01,0.0,18,0,0,0,0.33084,0.41314,0,0,0.33084,0.41314
0.01,0.0,18,0,1,0,0.33084,0.41314,1,-1,0.33084,0.40314
0.01,0.0,18,1,0,0,0.33084,0.40314,0,0,0.33084,0.40314
0.01,0.0,18,1,1,1,0.33084,0.40314,1,0,0.33084,0.40314
0.01,0.0,19,0,0,0,0.33084,0.40314,0,0,0.33084,0.40314
0.01,0.0,19,0,1,0,0.33084,0.40314,1,-1,0.33084,0.39314
0.01,0.0,19,1,0,0,0.33084,0.39314,0,0,0.33084,0.39314
0.01,0.0,19,1,1,1,0.33084,0.39314,1,0,0.33084,0.39314
0.01,0.0,20,0,0,0,0.33084,0.39314,0,0,0.33084,0.39314
0.01,0.0,20,0,1,0,0.33084,0.39314,1,-1,0.33084,0.38314
0.01,0.0,20,1,0,0,0.33084,0.38314,0,0,0.33084,0.38314
0.01,0.0,20,1,1,1,0.33084,0.38314,1,0,0.33084,0.38314
0.01,0.0,21,0,0,0,0.33084,0.38314,0,0,0.33084,0.38314
0.01,0.0,21,0,1,0,0.33084,0.38314,1,-1,0.33084,0.37314
0.01,0.0,21,1,0,0,0.33084,0.37314,0,0,0.33084,0.37314
0.01,0.0,21,1,1,1,0.33084,0.37314,1,0,0.33084,0.37314
0.01,0.0,22,0,0,0,0.33084,0.37314,0,0,0.33084,0.37314
0.01,0.0,22,0,1,0,0.33084,0.37314,0,0,0.33084,0.37314
0.01,0.0,22,1,0,0,0.33084,0.37314,0,0,0.33084,0.37314
0.01,0.0,22,1,1,1,0.33084,0.37314,1,0,0.33084,0.37314
